n,time_brute,time_state_dp,time_interval_dp,time_blossom,memory_state_dp,memory_interval_dp,memory_blossom,success_brute,success_state_dp,success_interval_dp,success_blossom
4,2,0,1,61,0.125,0.25,0.125,1,1,1,1
6,1,0,1,18,0.5,0.5625,0.28125,1,1,1,1
8,15,1,3,25,2,1,0.5,1,1,1,1
10,1484,18,5,71,8,1.5625,0.78125,1,1,1,1
12,149454,43,9,70,32,2.25,1.125,1,1,1,1
14,-1,81,3,72,128,3.0625,1.53125,1,1,1,1
16,-1,212,6,51,512,4,2,1,1,1,1
18,-1,753,4,108,2048,5.0625,2.53125,1,1,1,1
20,-1,2571,6,93,8192,6.25,3.125,1,1,1,1
22,-1,15905,11,109,32768,7.5625,3.78125,1,1,1,1
30,-1,-1,12,181,32768,14.0625,7.03125,1,1,1,1
50,-1,-1,58,658,32768,39.0625,19.5312,1,1,1,1
100,-1,-1,122,7593,32768,156.25,78.125,1,1,1,1
200,-1,-1,1024,15451,32768,625,312.5,1,1,1,1
300,-1,-1,3019,28334,32768,1406.25,703.125,1,1,1,1
500,-1,-1,7929,63443,32768,3906.25,1953.12,1,1,1,1
